username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
,,https://twitter.com/Miss_duttaa/status/1306893275270246400,"""Yes....with uh sir...
DEKHO EN CHHAKKO KA REAL CHEHRA...THAT'S WHY THEY WERE JEALOUS OF #SSR..😡😡🤬👎👎
👇👇👇👇👇👇👇
#ExposeDishaSalianCase… https",2020-09-18 02:50:00,210,139,7,,0,SSR | ExposeDishaSali,2,,https://pbs.twimg.com/media/EiMEfiQVgAEFPVW.jpg
patelsoha18,Soha Patel ,https://twitter.com/patelsoha18/status/1307342489683066880,"""No time For BULLYDAWOOD & IPL 👍
#JusticeForSSR""",2020-09-19 08:35:00,109,84,6,,0,JusticeForSSR,1,,
neha07me,Neha_BadiLambiyaanSiJudaiyaan,https://twitter.com/neha07me/status/1307030937545240577,"""Every case on these Bullywood mafia should be reopened, specially the mystery deaths.
1)Guru Dutt
2)Praveen Babi 
3)Divya Bharti
4)Jiah Khan
5)Disha Salian 
6)SSR
7)Sameer 
#MurdererBollywwod 
#JusticeForDisha 
#JusticeForSSR… https",2020-09-18 11:57:00,103,83,3,,0,MurdererBollyww | JusticeForDisha | JusticeForSSR,3,,
sush_thephoton,SUSH ,https://twitter.com/SUSH_ThePhoton/status/1307902981904330752,"""Hii @itsSSR . Now please come back. We are waiting. 🥺🥺❤️❤️

#SushantSinghRajput… """,2020-09-20 21:42:00,48,15,1,itsSSR,1,SushantSinghRaj,1,,https://pbs.twimg.com/media/Eiaa0ftUwAE_yzF.jpg
kesava_priya30,KesavaPriya,https://twitter.com/kesava_priya30/status/1307360671420411904,"""One of his dreams got freezed... can't accepting it...#JusticeForSSR… """,2020-09-19 09:47:00,,,0,,0,JusticeForSSR,1,,https://pbs.twimg.com/media/EiStmebVoAAK6Se.jpg
rajeshw61113026,vaishaliraj ,https://twitter.com/Rajeshw61113026/status/1305847355854303232,"""Picture of the day  Here's an unmissable picture of late actors #Sridevi and #SushantSinghRajput !

#DishaSSRMurderLink

#WeStayUnited4SSR… https",2020-09-15 05:34:00,337,169,18,,0,Sridevi | SushantSinghRaj | DishaSSRMurderL | WeStayUnited4SS,4,,https://pbs.twimg.com/media/Eh9NPiMUcAA7k-0.jpg
meenadasnarayan,Meena Das Narayan,https://twitter.com/MeenaDasNarayan/status/1306899832032821248,"""#SushantSinghRajput has no one except the ordinary public fighting for him and his family..continue n we can get justice""",2020-09-18 03:16:00,351,139,19,,0,SushantSinghRaj,1,,
sush_thephoton,SUSH ,https://twitter.com/SUSH_ThePhoton/status/1306109047221882880,"""Sometimes imagination is better than reality 😭💔

#SushantSinghRajput
#AnkitaLokhande 
#NationWantsDishaSSRTruth… """,2020-09-15 22:53:00,35,14,1,,0,SushantSinghRaj | AnkitaLokhande | NationWantsDish,3,,https://pbs.twimg.com/media/EiA7QYjUwAcMsG9.jpg
_shivanisays_,Shivani ,https://twitter.com/_shivanisays_/status/1307275646402347008,"""My precious smol bean ❤😍

#SushantSinghRajput
#SushantInOurHeartsForever… """,2020-09-19 04:09:00,241,96,11,,0,SushantSinghRaj | SushantInOurHea,2,,https://pbs.twimg.com/media/EiRf5FQU4AIy27J.png | https://pbs.twimg.com/media/EiRf5FRVoAAmT0R.png
ahaana_uk,M,https://twitter.com/Ahaana_UK/status/1306149713192849409,"""FOR SUSHANT 

#SushantSinghRajput… """,2020-09-16 01:35:00,90,79,6,,0,SushantSinghRaj,1,,
ani,ANI,https://twitter.com/ANI/status/1307693863776055301,"""#SushantSinghRajput death case",2020-09-20 07:51:00,"3,960",489,47,,0,SushantSinghRaj,1,,
,,https://twitter.com/DurgeshGupta_/status/1307179037056364544,"""Who is the Real Bollywood Superstar in both.??

RT for Sushant 🔃 
Like For Salman ❤️ 

#SushantSinghRajput
#1MonthOfInjusticeToSSR https",2020-09-18 21:45:00,"2,319",657,144,,0,SushantSinghRaj | 1MonthOfInjusti,2,,https://pbs.twimg.com/media/Ec4ZrV8UMAEHJh_.jpg
naturalphoton,True Photon For #DreamsOfSSR #JusticeForSSR,https://twitter.com/naturalphoton/status/1306808199828221958,"""Real TRIBUTE to #SushantSinghRajput would be to LEARN his wonderful discipline, To be OPTIMISTIC,  To Remain POSITIVE, To fight against ODDs and to INSPIRE others...

Be the POSITIVE change in Other's LIVEs!!

A Take Away for Us!!

#2BrutalMurders… https",2020-09-17 21:12:00,319,404,15,,0,SushantSinghRaj | 2BrutalMurders,2,,https://pbs.twimg.com/media/EiK3IZNUwAE-cBS.jpg
asjadnazir,Asjad Nazir,https://twitter.com/asjadnazir/status/1307273825290194945,"""I am so glad Byomkesh Bakshi is trending. The times I spoke to #SushantSinghRajput I told him that was my favourite performance of his. I asked if he would like to revisit the character and he said",2020-09-19 04:02:00,"1,004",322,21,,0,SushantSinghRaj,1,,
filmycurry,FilmyCurry,https://twitter.com/FilmyCurry/status/1307965067699220480,"""#SushantSinghRajput case",2020-09-21 01:49:00,688,155,28,,0,SushantSinghRaj,1,,https://pbs.twimg.com/media/EibTS-hVkAMIzQf.jpg
bollyhungama,BollyHungama,https://twitter.com/Bollyhungama/status/1308020655678525441,""".@SonuSood says people who never met #SushantSinghRajput have been talking about his death for limelight

https",2020-09-21 05:30:00,996,314,60,SonuSood,1,SushantSinghRaj,1,,
hereforsush,Gulshan ,https://twitter.com/hereforsush/status/1305528063858323456,"""Appreciating the artist and his art ❤🦋
|| A thread ||

#SushantSinghRajput 

#Justice4SSRIsGlobalDemand #Flag4SSR… """,2020-09-14 08:25:00,295,203,16,,0,SushantSinghRaj | Justice4SSRIsGl | Flag4SSR,3,,https://pbs.twimg.com/media/Eh4qvlsXcAAeahl.jpg | https://pbs.twimg.com/media/Eh4qvzYWoAMJTpi.jpg | https://pbs.twimg.com/media/Eh4qyu7X0AAxCwJ.jpg | https://pbs.twimg.com/media/Eh4q1m-WAAYudAG.jpg
sopa28614312,sopa Only for SSR justicefor SSR,https://twitter.com/sopa28614312/status/1307551572264656896,"""Don’t know Aman Gupta is ? But if this information is legit then ??? This is nerve wrecking ..Disha -we are so so sorry #SSRDishaHomicide #Warriors4SSR @republic @arnabofficial70 @TheUnknown_Dr @MeenaDasNarayan @iRaviTiwari @Imkgauravmishra @Remember2ndOct #SushantSinghRajput… https",2020-09-19 22:26:00,54,61,4,republic | arnabofficial70 | TheUnknown_Dr | MeenaDasNarayan | iRaviTiwari | Imkgauravmishra | Remember2ndOct,7,SSRDishaHomicid | Warriors4SSR | SushantSinghRaj,3,,https://pbs.twimg.com/media/EiVbONEWkAEjaZO.jpg | https://pbs.twimg.com/media/EiVbONFXkAAwPwL.jpg
baschillmaar,#JusticeForSushantSinghRajput,https://twitter.com/BasChillMaar/status/1306556079782780929,"""Very first wax statue of #SushantSinghRajput is made in Asansol,West Bengal.
We bengali people are very much affected by his death as we all love him so much.
#ArrestSSRKillersNow  https",2020-09-17 04:30:00,930,447,51,,0,SushantSinghRaj | ArrestSSRKiller,2,,https://pbs.twimg.com/profile_images/1305745876732633088/QPpHPkli_normal.jpg
rose_k01,Rosy,https://twitter.com/rose_k01/status/1308077178244927488,"""And this woman Deepika Padukone had tried to DIVERT #SushantSinghRajput Murdеr as a Suicidе driven by DEPRESSION. SHAME ON YOU DEEPIKA. THIS IS UNFORGIVABLE #DeepikaPadukone #BoycottBollywoodDruggies #BoycottBollywoodFilms #JusticeForSushantSinghRajput… https",2020-09-21 09:14:00,"1,246",637,47,,0,SushantSinghRaj | DeepikaPadukone | BoycottBollywoo | BoycottBollywoo | JusticeForSusha,5,,https://pbs.twimg.com/media/Eic4j3BUcAIh8Sb.jpg | https://pbs.twimg.com/media/Eic5QhDUcAMSiwW.jpg
ashoswai,Ashok Swain,https://twitter.com/ashoswai/status/1306557798554116097,"""When Films fail to do business, Bollwood refuses to give any role, use #SushantSinghRajput's suicide to get a BJP ticket. @bainjal https",2020-09-17 04:37:00,"2,250",558,100,bainjal,1,SushantSinghRaj,1,,
lostboy54,Vikas Gupta,https://twitter.com/lostboy54/status/1307631522388688896,"""Just cause I am standing by truth for #SushantSinghRajput U attacked my work & livelihood. Inspite of always being respectful your actions revealed what a fake human being U are. Your influence can cost me few projects but not only will I survive - I will succeed #VikasGupta… https",2020-09-20 03:43:00,"4,127","1,151",164,,0,SushantSinghRaj | VikasGupta,2,,https://pbs.twimg.com/media/EiWj79EUwAAyA5o.jpg
theroyalraajput,Rajeev Rajput,https://twitter.com/TheRoyalRaajput/status/1305735711228751873,"""#SushantSinghRajput
Ms Jaya Bachchan is lecturing & defending the gutter industry ppl but DID SHE tell Sanjay Raut NOT to use language like Haramkhоr for #KanganaRanaut ? #JayaBachchan

 https",2020-09-14 22:10:00,"5,417","1,968",667,,0,SushantSinghRaj | KanganaRanaut | JayaBachchan,3,,https://pbs.twimg.com/profile_images/1302265509207969793/SILLxlul_normal.jpg
filmfare,Filmfare,https://twitter.com/filmfare/status/1306615820512968707,"""A wax statue of late #SushantSinghRajput was revealed in Asansol, West Bengal.… """,2020-09-17 08:27:00,"5,809",503,136,,0,SushantSinghRaj,1,,https://pbs.twimg.com/media/EiIIJ6kU4AElNgr.jpg | https://pbs.twimg.com/media/EiIIJ6kVoAEznz0.jpg
abhasinghlawyer,Abha Singh,https://twitter.com/abhasinghlawyer/status/1307320696326909953,"""SPP told Court during Bail Plea that Rhea procured drugs for #Sushant. Can #Arnab throw some light on this ?? #SushantTruthNow #CBIForSSR… https",2020-09-19 07:08:00,10,6,1,,0,Sushant | Arnab | SushantTruthNow | CBIForSSR,4,,https://pbs.twimg.com/media/EiSJPhtUYAMh1j_.jpg
rajeshw61113026,vaishaliraj ,https://twitter.com/Rajeshw61113026/status/1307692860452429825,"""#Sushant case",2020-09-20 07:47:00,34,43,0,,0,Sushant,1,,
kg_tweeets,KG Updates,https://twitter.com/KG_tweeets/status/1306805006599774208,"""#SukantoRoy, A Sculptor From Asansol, West Bengal Has Created A Wax Statue Of Late Actor #Sushant.

""I Liked Him A Lot, It Is Sad That He Passed Away. I Have Made This Statue For My Museum Says #SukantoRoy.… https",2020-09-17 20:59:00,17,6,0,,0,SukantoRoy | Sushant | SukantoRoy,3,,https://pbs.twimg.com/media/EiK0DfRVoAAiMO0.jpg | https://pbs.twimg.com/media/EiK0ErLU4AAMDcx.jpg
harshitadwive15,Justice4SSR,https://twitter.com/HarshitaDwive15/status/1307730296314507265,"""Who is #Sushant?
Smart
Unique
Special
Handsome
Attractive
Noble
Twinkly 
~person who will always be brightest star in the sky.We miss you and love you ♾ 
#WarriorsRoar4SSR 
#Justice4SSR 
@nilotpalm3""",2020-09-20 10:16:00,63,28,1,nilotpalm3,1,Sushant | WarriorsRoar4SS | Justice4SSR,3,,
maniyarashakir,Shakir Maniyara,https://twitter.com/ManiyaraShakir/status/1304955024007524354,"""#ISupportBanOnRepublic
Over last 3 months, no debate on Corona, economy, unemployment, farmers suicides, health infrastructure, education. 
He blamed #RheaChakraborty for murder of #Sushant but all the agencies together, in spite of their best, could only find her guilty of drug… https",2020-09-12 18:28:00,15,10,2,,0,ISupportBanOnRe | RheaChakraborty | Sushant,3,,https://pbs.twimg.com/media/EhwhlcQXkAEijJJ.jpg
,,https://twitter.com/PureSoulSush/status/1308114892264669184,"""REPEAT after me 😂🙈
Drug make people Dilusional, hence 
Deepika was in Depression

Oh my god sooooo many ""D"" 🙄 🤣

Chalo bulawa aya hai NCB ne bulaya hai 🤣🤣 ..Sabka asli face Expose hoga 🤘🏼
#Sushant U are really a Pure soul, true Angel
Now Everyone will face their KARMA 😡… https",2020-09-21 11:44:00,4,,0,,0,Sushant,1,,https://pbs.twimg.com/media/EidbibKUYAAarRe.jpg | https://pbs.twimg.com/media/Eidbi3HU0AABVZx.jpg | https://pbs.twimg.com/media/EidbjBAVkAAvbdC.jpg | https://pbs.twimg.com/media/Eidbj71UYAALC3f.jpg
honesti76332440,Justice for Sushant Singh Rajput,https://twitter.com/HonestI76332440/status/1307589869137395712,"""Every time u hear abt d details of these 2 murders,ur blood boils,u feel angry, harassed. Dis is happening to d common public of d country. Just imagine d pain these 2 noble souls #Disha & #Sushant went thru struggling 2 protect their lives. Truth will prevail. 
#SSRDishaHomicide… https",2020-09-20 00:58:00,3,8,1,,0,Disha | Sushant | SSRDishaHomicid,3,,https://pbs.twimg.com/media/EiV-DjcVoAAlPAU.jpg
timeswiz,Wiz Times,https://twitter.com/TimesWiz/status/1307161295632752640,"""#sushant sister Meetu Singh Shares a message about her mother and brother
#SSRDeathCase

.

.

.

Read more https",2020-09-18 20:35:00,5,3,0,,0,sushant | SSRDeathCase,2,,https://pbs.twimg.com/media/EiP4Q2nVoAEEXX1.jpg
hisfanforlife47,Neha Yadav,https://twitter.com/hisfanforlife47/status/1307745021785825280,"""Miss you #Sushant 💔
Plzz come back 🙄🙏🏻✨
@nilotpalm3 
@shwetasinghkirt 
#Message4SSR… """,2020-09-20 11:14:00,4,3,1,nilotpalm3 | shwetasinghkirt,2,Sushant | Message4SSR,2,,https://pbs.twimg.com/media/EiYLKPBUMAA3INw.jpg
ssrukofficial,#JusticeForSSR,https://twitter.com/ssrukofficial/status/1307628382847488000,"""Really Amazing Creation ♥️, #Speechless  Sushant Singh Rajput said,
 “What will survive of us is love!”
#Sushant.. very simple and very down to earth.. 

#SSRDishaHomicide… https",2020-09-20 03:31:00,10,9,0,,0,Speechless | Sushant | SSRDishaHomicid,3,,
shefali04261994,Shefali Arora,https://twitter.com/Shefali04261994/status/1306247827497123841,"""🔴 BREAKING UPDATE",2020-09-16 08:05:00,13,14,2,,0,,0,,https://pbs.twimg.com/media/EiC5eXlXYAEd0Kt.jpg
vani43566994,Vani,https://twitter.com/Vani43566994/status/1306472118322737152,"""Sushant bilkul bachhe the masoom innocent charming cuteness ki dukan 😘😘 miss you Sushant ❤️❤️ #sushant #ArrestSSRKillersNow… https",2020-09-16 22:56:00,6,8,0,,0,sushant | ArrestSSRKiller,2,,https://pbs.twimg.com/media/EiGFccGXgAAqARF.jpg | https://pbs.twimg.com/media/EiGFdUeWAAIpwwn.jpg
bohutaalsi,,https://twitter.com/bohutaalsi/status/1305888481638453248,"""When the dust settles. When speaking good things about Sushant wont get social media traction. Those who then will speak and remember him fondly will be the ones who truly cared for him & loved him. I will wait for that day.. as a #Sushant fan, I will have my answers then.""",2020-09-15 08:17:00,236,62,13,,0,Sushant,1,,
sanjanaati,Sanjana,https://twitter.com/Sanjanaati/status/1307582796681093121,"""Somewhere around us Shushant and Disha is watching us all.And thinking how big my family has become to get justice for me.

Today the whole world is one to bring justice to #Sushant and #Disha 

#SSRDishaHomicide
#ArrestAnuragKashyap
#EvidencesScreamMurder
#ArrestAnuragKashyap… https",2020-09-20 00:30:00,27,21,0,,0,Sushant | Disha | SSRDishaHomicid | ArrestAnuragKas | EvidencesScream | ArrestAnuragKas,6,,
imshreyanarayan,Shreya Narayan (Anew),https://twitter.com/imshreyanarayan/status/1307209464496308224,"""About Rs.54 crore was deposited into just ONE of #Sushant's bank accounts in last 3 years, out of which only Rs.2 crore left in it. #SushantSinghRajputDeathCase""",2020-09-18 23:46:00,76,30,7,,0,Sushant | SushantSinghRaj,2,,
_rchie0425,Archie Agarwal | ,https://twitter.com/_rchie0425/status/1306515600349560832,"""Nobody would have ever imagined that a boy frm a small town would come to the mumbai to fulfill his dreams, & Inspire people to Dream.
Personality like #Sushant is one of the billions, rare of the rarest.
An ocean of Talents & Knowledge
He's beyond🦋💫🌊♾️

#ArrestSSRKillersNow… https",2020-09-17 01:49:00,24,18,1,,0,Sushant | ArrestSSRKiller,2,,https://pbs.twimg.com/media/EiGqDJqX0AI2plF.jpg
iravitiwari,Ravi Tiwari Bihari,https://twitter.com/iRaviTiwari/status/1307251125913960448,"""▪Who were present on 13 nd 14th June ?
▪Who exactly were present in d party with Disha Salian ?

Why this basic thing  is taking more than 3 months to answer ??

Voice should be more louder  bcs Justice is still pending for #Sushant and #Disha

#EvidencesScreamMurder""",2020-09-19 02:32:00,"1,896","1,171",83,,0,Sushant | Disha | EvidencesScream,3,,
thecurlypoet,Nitin Soni,https://twitter.com/TheCurlyPoet/status/1305209023797501953,"""#Sushant is not here to defend himself. Thus, stop giving a bad name to him. 

I'm sure he will get justice 🙏🏻

#FocusOnMurderofSSR… https",2020-09-13 11:17:00,718,483,29,,0,Sushant | FocusOnMurderof,2,,https://pbs.twimg.com/media/Eh0IryFU8AAmgHF.jpg
maheshjoshi_mj,Mahesh Joshi,https://twitter.com/MaheshJoshi_MJ/status/1305272434908524551,"""Dr @Swamy39 claims agencies have enough for CBI to prove #Sushant's 'murder by conspiracy' - Republic World  https",2020-09-13 15:29:00,"3,172",659,66,Swamy39,1,Sushant,1,,
clickfeeds,ClickFeeds,https://twitter.com/clickfeeds/status/1306293360903294976,"""Just a day before #Sushant's ex-manager #DishaSalian death, #RashmiDesai had a chat with her

READ",2020-09-16 11:06:00,3,2,0,,0,Sushant | DishaSalian | RashmiDesai,3,,
rhythms22,Rhythm Anand Bhardwaj,https://twitter.com/Rhythms22/status/1307728696157954048,"""BIG INSIDE SCOOP How #Rhea cracked by #NCB
1Till 55th Quest unnerved
2NCB -how good an actress r u?
Rhea-Very good.
NCB-Madam please don't act here,you will get into trouble.
3In round 2,36hours later
ADMITTED was given tutored lines
&consumed #drugs 
@Republic_Bharat @republic… https",2020-09-20 10:09:00,268,63,8,Republic_Bharat | republic,2,Rhea | NCB | drugs,3,,https://pbs.twimg.com/media/EiX8TRpUwAEPojL.jpg | https://pbs.twimg.com/media/EiX8T9sUwAA6H_I.jpg
,,https://twitter.com/namzcool4ya/status/1306931760903499776,"""You don't worry about #justiceforSSRwarriors.
You & your gang were never in favour of asking Justice for SSR.
You people did only boot-licking of 🐧 govt of MH & Puppet Mumbai Police.
So stop showing FAKE concern for SSR.
You always supported druggie #Rhea.
Shame on you people.😒… https",2020-09-18 05:23:00,,,1,,0,justiceforSSRwa | Rhea,2,,
rhythms22,Rhythm Anand Bhardwaj,https://twitter.com/Rhythms22/status/1307326955293782016,"""Family lawyer Sr Adv #VikasSingh says 1Family believes #SSR murdered
2 #Rhea took his valuables 
 3 #Pithani changing versions,was the only person in the room when body lowered.
 4.height of #SushantSinghRajput,hanging,Marks don't match
5.why was the postmortem done at night .… https",2020-09-19 07:33:00,113,38,1,,0,VikasSingh | SSR | Rhea | Pithani | SushantSinghRaj,5,,
priyanjali_19,AnjaliJaiswal,https://twitter.com/priyanjali_19/status/1308079346620354560,"""#BoycottBollywoodDruggies
We'll nvr forget what they did with SSR, When he was alive the whole bullywood very hard trying to defame his pure image

And now after his demise they r doing same thing #Shame

Gutter bollywood Actors support drugg peddler, Murderer #Rhea of Sushant… https",2020-09-21 09:23:00,5,6,0,,0,BoycottBollywoo | Shame | Rhea,3,,https://pbs.twimg.com/media/Eic7OypUcAAE1Bp.jpg
bohutaalsi,,https://twitter.com/bohutaalsi/status/1305526713523167232,"""One bad association can ruin one's life forever. 
Friendship with #Rhea is costing #SaraAliKhan and #RakulPreet big.
And the relationship with Rhea cost Sushant his life 😔😔.""",2020-09-14 08:19:00,301,93,14,,0,Rhea | SaraAliKhan | RakulPreet,3,,
gazingatseiros,𝐆𝐚𝐳 (ू•ᴗ•ू❁) // Saint Seiros worshipper ,https://twitter.com/gazingatseiros/status/1305647432047513607,"""What Nemesis saw before being stabbed by a hot holy woman

.
.
#Rhea #Seiros #FE3H… """,2020-09-14 16:19:00,80,33,2,,0,Rhea | Seiros | FE3H,3,,https://pbs.twimg.com/media/Eh6XaoFWAAMPRBC.jpg
ramsharmaa,Ram Sharma,https://twitter.com/ramsharmaa/status/1306376889242587136,"""She was sent by her aakas in pak to instigate @NIA_India please see, this @ReallySwara aunty in perview of #DelhiRiots2020, as she is one of the main culprits and @narcoticsbureau please look at her drug involvements too, as she is an assassin like #rhea only #sushanthomicide.… https",2020-09-16 16:38:00,197,149,35,NIA_India | ReallySwara | narcoticsbureau,3,DelhiRiots2020 | rhea | sushanthomicide,3,,
herdhush,HerdHUSH,https://twitter.com/HerdHUSH/status/1308099986979086337,"""Anurag's Tweet Tomorrow

Maal Hai Kya is just a Metaphor

Me Anurag Kashyap alone at home, calls & asks",2020-09-21 10:45:00,201,80,12,,0,,0,,
itsash_anand,Ashlesha Anand,https://twitter.com/itsAsh_Anand/status/1306184328716587010,"""Siddhart Pithani admits by saying that sushant constantly kept saying that he will be Killed & also said that Rhea escaped wid sushant’s laptop and hard drives on 8th of June. 
Yet this bollywood defending #Rhea shame on you Bullywood.
Source-@republic 
 #NationWantsDishaSSRTruth""",2020-09-16 03:53:00,112,137,5,republic,1,Rhea | NationWantsDish,2,,
suchitrak,Suchitra Krishnamoorthi,https://twitter.com/suchitrak/status/1305926817115635712,"""Why so much love for other peoples children but not ur own? Cant help bringing up this pt again and again. Has #Mahesh Bhatt explained his concern for #rhea to #CBI? 🙄 https",2020-09-15 10:49:00,167,53,9,,0,Mahesh | rhea | CBI,3,,
rhythms22,Rhythm Anand Bhardwaj,https://twitter.com/Rhythms22/status/1305139539963342848,"""SUPER #EXCLUSIVE @republic 
We stung #SushantSinghRajput 's driver.EXPLOSIVE NEW TESTIMONY.
HE says
-#Rhea bought a car from his money,
-she administered drugs to him,
-Handled finances ,swindled money, 
-Tried to distance family from him,
- gave drugs to him
#JusticeForSushant… https",2020-09-13 06:41:00,589,266,18,republic,1,EXCLUSIVE | SushantSinghRaj | Rhea | JusticeForSusha,4,,https://pbs.twimg.com/media/EhzJfmQUcAMGDNA.jpg
moniiiiiiicaaa,Monica,https://twitter.com/Moniiiiiiicaaa/status/1307649801727569920,"""Death sentence for a vulture like Rhea. She is to be punished for the brutal murders she has committed in several ways and every way possible.

#Rhea should be sentenced to death. This is what she and each murderee deserves
@smitaparikh2

#SSRDishaHomicide… https",2020-09-20 04:56:00,19,33,1,smitaparikh2,1,Rhea | SSRDishaHomicid,2,,
prankya,Priyanka ,https://twitter.com/prankya/status/1306211048093958144,"""#Rhea 💥

✔️ SSR was worried because Rhea left with his laptop, Hard drive and camera
✔️ SSR was anxious because Rhea knew all his passwords.
✔️ Sushant felt  #Rhea along with few people will fix him for Disha's death.

WHO ARE THE OTHER FEW PEOPLE 🔥

#NationWantsDishaSSRTruth… https",2020-09-16 05:39:00,57,73,1,,0,Rhea | Rhea | NationWantsDish,3,,https://pbs.twimg.com/media/EiCYAiKU8AQyU4P.jpg | https://pbs.twimg.com/media/EiCYBBMUYAIF6bO.jpg | https://pbs.twimg.com/media/EiCYBg9VkAA7g9c.jpg
12ajeetpandey1,अजित पांडेय Ajeet ,https://twitter.com/12AjeetPandey1/status/1307590308889157633,"""#Rhea Chakraborty Admits to Drug Consumption At",2020-09-20 00:59:00,28,69,1,,0,Rhea,1,,
saghar08228364,Saghar,https://twitter.com/Saghar08228364/status/1307846229527875585,"""#Rhea, the naked bird on instagram.
I was crying my eyes out for a few days. https",2020-09-20 17:56:00,6,,1,,0,Rhea,1,,https://pbs.twimg.com/media/EiZnNu1XgAEe_Qj.jpg
justice_4__ssr,JUSTICE FOR SUSHANT--SSRIAN and ISBP Member,https://twitter.com/Justice_4__SSR/status/1307232115109572609,"""Today I saw a viral clip from a certain news channel detailing everything that happened during #Rhea 's day in jail. Now THIS is too much... there are other issues in the country. We are here wanting Justice and we don't want a play by play of the NCB accused's day.""",2020-09-19 01:16:00,5,2,2,,0,Rhea,1,,
rhythms22,Rhythm Anand Bhardwaj,https://twitter.com/Rhythms22/status/1307254591986126849,"""EXCLUSIVE
1#NCB to probe #KaranJohar video  u/S65B of IndianEvidence Act #Bollywooddrugmafia
2 @Republic_Bharat @republic reveals how #Rhea SPILLED beans after1.5days of interrogation.She admitted she was TUTORED Lines,LIED first,then  admitted she consumed #drugs
 #JusticeForSSR… https",2020-09-19 02:45:00,"1,102",341,20,Republic_Bharat | republic,2,KaranJohar | Bollywooddrugma | Rhea | drugs | JusticeForSSR,5,,https://pbs.twimg.com/media/EiRNHdvUYAEQ8XD.jpg | https://pbs.twimg.com/media/EiRNH1gUwAAd0oz.jpg
hvgoenka,Harsh Goenka,https://twitter.com/hvgoenka/status/1307614779515707392,"""The anchors reaction when #Rhea or #Kangana speak out something which is controversial and may help TRPs...
 https",2020-09-20 02:37:00,"1,260",141,60,,0,Rhea | Kangana,2,,https://pbs.twimg.com/profile_images/964832652342808577/7SQLJX_d_normal.jpg | https://abs.twimg.com/emoji/v2/72x72/1f1ee-1f1f3.png
avinash24121991,Avinash T,https://twitter.com/avinash24121991/status/1306260038596677632,"""#sushanthomicide
#NationWantsDishaSSRTruth
#Rhea also spoke long to the last person who spoke about #SushantSinghRajput. And why did #Rhea also talk to the police?

#Nation_With_ArnabGoswami
#WeStayUnited4SSR
#BoycottBollywood
#JusticeForSushantSinghRajput
#IstandwithRaviKishan… https",2020-09-16 08:53:00,43,67,2,,0,sushanthomicide | NationWantsDish | Rhea | SushantSinghRaj | Rhea | Nation_With_Arn | WeStayUnited4SS | BoycottBollywoo | JusticeForSusha | IstandwithRaviK,10,,
suchitrak,Suchitra Krishnamoorthi,https://twitter.com/suchitrak/status/1307215967332659200,"""Why r journos like #barkhadutt  who were so aggressively pushing  #SSR is bipolar & save #rhea from #Patriarchy & #mysogyny narrative when she v unethically got a psychiatrist to speak  on SSR & break patient/doctor confidentiality -y r ths journos not speaking up on #DrugsMafia""",2020-09-19 00:12:00,854,289,57,,0,barkhadutt | SSR | rhea | Patriarchy | mysogyny | DrugsMafia,6,,
ishakaurssr2,Isha Kaur ,https://twitter.com/IshaKaurssr2/status/1308144796956012556,"""I was so worried about trending today! Look, we have 4 negative trends going for Bullywood which directly helps #JusticeForSSR movement!! God is with us! Justice is coming!! #BoycottBollywoodDruggies… https",2020-09-21 13:43:00,30,18,5,,0,JusticeForSSR | BoycottBollywoo,2,,https://pbs.twimg.com/media/Eid2vo0XkAI6Zsa.jpg
rhythms22,Rhythm Anand Bhardwaj,https://twitter.com/Rhythms22/status/1306987946243833856,"""#JusticeForSSR #JusticeForDisha 
1.Forensic experts say there were 2sets of injuries on #Disha one from the Fall,& one from trauma before fall
2.#RohanRai in hiding,spotted in Nagpur,now Haryana 
3.Sources-he is soon to be questioned.@republic
@Republic_Bharat reopens Disha case… https",2020-09-18 09:06:00,684,405,23,republic | Republic_Bharat,2,JusticeForSSR | JusticeForDisha | Disha | RohanRai,4,,https://pbs.twimg.com/media/EiNamkhVkAIxeR8.jpg
_its_sr_,Shirley,https://twitter.com/_its_SR_/status/1305931675386355712,"""What happened on 8th night? What happened to Disha Salian?
Key to @itsSSR case is on that night. @republic @pradip103
@shwetasinghkirt @sushantf3 @nilotpalm3 @ishkarnBHANDARI @Swamy39 @smitaparikh2 

#DishaWasKilled
#JusticeForSSR 
#Justice4SSRIsGlobalDemand… https",2020-09-15 11:09:00,40,38,2,itsSSR | republic | pradip103 | shwetasinghkirt | sushantf3 | nilotpalm3 | ishkarnBHANDARI | Swamy39 | smitaparikh2,9,DishaWasKilled | JusticeForSSR | Justice4SSRIsGl,3,,https://pbs.twimg.com/media/Eh-Z7nJUYAABt-J.jpg
its_amitkumar,Amit Kumar,https://twitter.com/its_amitkumar/status/1307012288407273475,"""11",2020-09-18 10:43:00,36,19,1,,0,,0,,
itsrsg__,Reshma,https://twitter.com/ItsRSG__/status/1307213306399059969,"""https",2020-09-19 00:01:00,,,0,,0,,0,,
